Hour,Lane 1 Flow (Veh/Hour),Lane 2 Flow (Veh/Hour),Lane 3 Flow (Veh/Hour),Lane 4 Flow (Veh/Hour),Flow (Veh/Hour),# Lane Points,% Observed
1/1/2024 0:00,133,214,176,71,594,48,100.00
1/1/2024 1:00,267,379,231,123,1000,48,100.00
1/1/2024 2:00,208,283,199,87,777,48,100.00
1/1/2024 3:00,149,210,179,69,607,48,100.00
1/1/2024 4:00,70,140,123,36,369,48,100.00
1/1/2024 5:00,90,164,111,47,412,48,100.00
1/1/2024 6:00,114,210,174,61,559,48,100.00
1/1/2024 7:00,165,275,232,111,783,48,100.00
1/1/2024 8:00,262,414,354,147,1177,48,100.00
1/1/2024 9:00,556,703,501,256,2016,48,100.00
1/1/2024 10:00,903,972,719,390,2984,48,100.00
1/1/2024 11:00,1217,1233,882,531,3863,48,100.00
1/1/2024 12:00,1444,1314,1002,513,4273,48,100.00
1/1/2024 13:00,1470,1384,979,603,4436,48,100.00
1/1/2024 14:00,1633,1468,1038,584,4723,48,100.00
1/1/2024 15:00,1446,1314,1004,575,4339,48,100.00
1/1/2024 16:00,1361,1192,901,514,3968,48,100.00
1/1/2024 17:00,1336,1197,895,463,3891,48,100.00
1/1/2024 18:00,1221,1138,842,490,3691,48,100.00
1/1/2024 19:00,1175,1071,772,430,3448,48,100.00
1/1/2024 20:00,1240,1092,807,454,3593,48,100.00
1/1/2024 21:00,1145,1061,745,410,3361,48,100.00
1/1/2024 22:00,715,717,489,276,2197,48,100.00
1/1/2024 23:00,458,505,371,161,1495,48,100.00
1/2/2024 0:00,214,352,188,86,840,48,100.00
1/2/2024 1:00,103,167,120,65,455,48,100.00
1/2/2024 2:00,49,110,84,55,298,48,100.00
1/2/2024 3:00,71,142,90,57,360,48,100.00
1/2/2024 4:00,211,293,176,105,785,48,100.00
1/2/2024 5:00,629,614,380,212,1835,48,100.00
1/2/2024 6:00,803,789,527,276,2395,48,100.00
1/2/2024 7:00,938,926,566,289,2719,48,100.00
1/2/2024 8:00,911,991,618,337,2857,48,100.00
1/2/2024 9:00,1077,1131,787,353,3348,48,100.00
1/2/2024 10:00,1237,1212,749,407,3605,48,100.00
1/2/2024 11:00,1324,1310,949,530,4113,48,100.00
1/2/2024 12:00,1206,1191,842,427,3666,48,100.00
1/2/2024 13:00,1194,1156,776,410,3536,48,100.00
1/2/2024 14:00,1250,1185,833,435,3703,48,100.00
1/2/2024 15:00,1279,1229,901,480,3889,48,100.00
1/2/2024 16:00,1233,1228,875,456,3792,48,100.00
1/2/2024 17:00,1405,1298,954,510,4167,48,100.00
1/2/2024 18:00,1127,1049,768,378,3322,48,100.00
1/2/2024 19:00,907,912,642,310,2771,48,100.00
1/2/2024 20:00,970,957,593,346,2866,48,100.00
1/2/2024 21:00,795,814,527,242,2378,48,100.00
1/2/2024 22:00,508,596,395,182,1681,48,100.00
1/2/2024 23:00,437,520,343,152,1452,48,100.00
1/3/2024 0:00,208,325,195,122,850,48,100.00
1/3/2024 1:00,118,193,143,103,557,48,100.00
1/3/2024 2:00,56,126,101,95,378,48,100.00
1/3/2024 3:00,57,146,101,83,387,48,100.00
1/3/2024 4:00,203,293,188,129,813,48,100.00
1/3/2024 5:00,481,538,336,230,1585,48,100.00
1/3/2024 6:00,622,678,474,252,2026,48,100.00
1/3/2024 7:00,941,927,607,328,2803,48,100.00
1/3/2024 8:00,898,878,583,361,2720,48,100.00
1/3/2024 9:00,976,1015,664,352,3007,48,100.00
1/3/2024 10:00,1058,1030,679,375,3142,48,100.00
1/3/2024 11:00,1127,1110,743,349,3329,48,100.00
1/3/2024 12:00,1104,1123,709,396,3332,48,100.00
1/3/2024 13:00,1026,1060,730,382,3198,48,100.00
1/3/2024 14:00,1197,1100,797,433,3527,48,100.00
1/3/2024 15:00,1192,1159,802,437,3590,48,100.00
1/3/2024 16:00,1158,1177,847,440,3622,48,100.00
1/3/2024 17:00,1069,1091,752,384,3296,48,100.00
1/3/2024 18:00,973,915,663,362,2913,48,100.00
1/3/2024 19:00,758,815,534,284,2391,48,100.00
1/3/2024 20:00,827,804,552,266,2449,48,100.00
1/3/2024 21:00,666,746,469,210,2091,48,100.00
1/3/2024 22:00,492,593,392,176,1653,48,100.00
1/3/2024 23:00,366,410,288,126,1190,48,100.00
1/4/2024 0:00,152,247,156,85,640,48,100.00
1/4/2024 1:00,82,164,118,82,446,48,100.00
1/4/2024 2:00,49,129,95,72,345,48,100.00
1/4/2024 3:00,53,122,106,66,347,48,100.00
1/4/2024 4:00,204,274,183,123,784,48,100.00
1/4/2024 5:00,537,556,370,230,1693,48,100.00
1/4/2024 6:00,803,843,520,292,2458,48,100.00
1/4/2024 7:00,900,945,598,292,2735,48,100.00
1/4/2024 8:00,983,1052,620,341,2996,48,100.00
1/4/2024 9:00,1158,1174,800,391,3523,48,100.00
1/4/2024 10:00,1403,1338,848,483,4072,48,100.00
1/4/2024 11:00,1123,1105,738,392,3358,48,100.00
1/4/2024 12:00,1202,1126,881,602,3811,48,100.00
1/4/2024 13:00,1219,1191,821,418,3649,48,100.00
1/4/2024 14:00,1272,1230,837,457,3796,48,100.00
1/4/2024 15:00,1342,1214,894,456,3906,48,100.00
1/4/2024 16:00,1308,1211,878,499,3896,48,100.00
1/4/2024 17:00,1257,1202,802,460,3721,48,100.00
1/4/2024 18:00,1046,1041,720,389,3196,48,100.00
1/4/2024 19:00,983,948,655,362,2948,48,100.00
1/4/2024 20:00,947,860,581,313,2701,48,100.00
1/4/2024 21:00,823,804,544,250,2421,48,100.00
1/4/2024 22:00,537,583,349,175,1644,48,100.00
1/4/2024 23:00,370,476,297,128,1271,48,100.00
1/5/2024 0:00,187,271,204,91,753,48,100.00
1/5/2024 1:00,103,164,136,83,486,48,100.00
1/5/2024 2:00,60,127,117,59,363,48,100.00
1/5/2024 3:00,89,147,112,88,436,48,100.00
1/5/2024 4:00,180,255,196,131,762,48,100.00
1/5/2024 5:00,458,516,333,211,1518,48,100.00
1/5/2024 6:00,710,763,487,317,2277,48,100.00
1/5/2024 7:00,925,917,615,356,2813,48,100.00
1/5/2024 8:00,896,924,647,323,2790,48,100.00
1/5/2024 9:00,1000,1034,708,377,3119,48,100.00
1/5/2024 10:00,1341,1221,801,431,3794,48,100.00
1/5/2024 11:00,1370,1270,867,453,3960,48,100.00
1/5/2024 12:00,1488,1298,938,466,4190,48,100.00
1/5/2024 13:00,1284,1251,909,455,3899,48,100.00
1/5/2024 14:00,1486,1361,977,504,4328,48,100.00
1/5/2024 15:00,1415,1320,992,527,4254,48,75.00
1/5/2024 16:00,1256,1141,872,467,3736,48,100.00
1/5/2024 17:00,1252,1177,783,481,3693,48,100.00
1/5/2024 18:00,1096,1026,703,361,3186,48,100.00
1/5/2024 19:00,1095,1008,731,383,3217,48,100.00
1/5/2024 20:00,1184,1089,759,389,3421,48,100.00
1/5/2024 21:00,990,969,631,338,2928,48,100.00
1/5/2024 22:00,728,754,482,262,2226,48,100.00
1/5/2024 23:00,528,602,360,184,1674,48,100.00
1/6/2024 0:00,278,406,282,135,1101,48,100.00
1/6/2024 1:00,151,285,179,99,714,48,100.00
1/6/2024 2:00,76,183,124,83,466,48,100.00
1/6/2024 3:00,80,140,115,69,404,48,100.00
1/6/2024 4:00,118,192,121,98,529,48,100.00
1/6/2024 5:00,258,375,234,154,1021,48,100.00
1/6/2024 6:00,620,682,435,213,1950,48,100.00
1/6/2024 7:00,934,950,635,311,2830,48,100.00
1/6/2024 8:00,1239,1164,842,402,3647,48,100.00
1/6/2024 9:00,1485,1402,1028,510,4425,48,100.00
1/6/2024 10:00,1612,1459,1038,575,4684,48,100.00
1/6/2024 11:00,1665,1446,1111,622,4844,48,100.00
1/6/2024 12:00,1559,1374,1006,554,4493,48,100.00
1/6/2024 13:00,1361,1272,903,486,4022,48,100.00
1/6/2024 14:00,1300,1213,898,491,3902,48,100.00
1/6/2024 15:00,1280,1230,888,480,3878,48,100.00
1/6/2024 16:00,1392,1274,917,469,4052,48,100.00
1/6/2024 17:00,1407,1288,923,520,4138,48,100.00
1/6/2024 18:00,1275,1138,854,440,3707,48,100.00
1/6/2024 19:00,1224,1173,815,480,3692,48,100.00
1/6/2024 20:00,1261,1152,776,427,3616,48,100.00
1/6/2024 21:00,1189,1124,748,428,3489,48,100.00
1/6/2024 22:00,936,878,626,302,2742,48,100.00
1/6/2024 23:00,627,687,484,234,2032,48,100.00
1/7/2024 0:00,359,456,310,145,1270,48,100.00
1/7/2024 1:00,205,299,195,54,753,48,100.00
1/7/2024 2:00,79,168,120,47,414,48,100.00
1/7/2024 3:00,49,119,64,27,259,48,100.00
1/7/2024 4:00,57,125,103,46,331,48,100.00
1/7/2024 5:00,99,176,147,50,472,48,100.00
1/7/2024 6:00,201,353,247,102,903,48,100.00
1/7/2024 7:00,349,502,366,156,1373,48,100.00
1/7/2024 8:00,541,709,505,228,1983,48,100.00
1/7/2024 9:00,940,1003,710,377,3030,48,100.00
1/7/2024 10:00,1164,1165,846,460,3635,48,100.00
1/7/2024 11:00,1412,1303,964,498,4177,48,100.00
1/7/2024 12:00,1388,1288,983,550,4209,48,100.00
1/7/2024 13:00,1325,1238,932,518,4013,48,100.00
1/7/2024 14:00,1509,1348,957,528,4342,48,100.00
1/7/2024 15:00,1620,1427,1074,560,4681,48,100.00
1/7/2024 16:00,1607,1398,1085,551,4641,48,100.00
1/7/2024 17:00,1580,1417,1064,609,4670,48,100.00
1/7/2024 18:00,1684,1454,1119,591,4848,48,100.00
1/7/2024 19:00,1576,1356,1030,548,4510,48,100.00
1/7/2024 20:00,1498,1283,944,518,4243,48,100.00
1/7/2024 21:00,1239,1108,841,343,3531,48,100.00
1/7/2024 22:00,860,817,585,220,2482,48,100.00
1/7/2024 23:00,504,532,347,174,1557,48,100.00